SITE,N CHICKS,DATE,AGE CHICKS,START TIME,END TIME,IVIs,IVInum
18,4,20-Jul-18,8,17:34:25,17:43:04,01:08:12,0.0474
78,2,01-Aug-18,15,13:38:23,13:41:57,01:08:30,0.0476
33,2,05-Aug-18,16,19:03:44,19:17:31,01:08:39,0.0477
78,2,09-Aug-18,23,05:54:22,05:59:07,01:09:09,0.048
30,3,20-Jul-18,5,10:31:46,10:41:52,01:09:35,0.0483
53,3,01-Aug-18,16,06:55:08,07:03:26,01:09:44,0.0484
77,2,17-Jul-18,1,20:26:07,20:32:30,01:09:53,0.0485
22,3,24-Jul-18,13,08:54:24,08:58:03,01:09:54,0.0485
18,3,04-Aug-18,23,09:55:00,09:56:58,01:09:59,0.0486
78,2,03-Aug-18,17,09:23:27,09:26:34,01:10:11,0.0487
47,3,29-Jul-18,8,21:42:09,21:54:02,01:10:18,0.0488
53,3,29-Jul-18,13,17:38:56,17:40:58,01:10:27,0.0489
77,3,30-Jul-18,14,08:11:53,08:16:37,01:10:32,0.049
29,1,05-Aug-18,22,09:11:35,09:14:22,01:11:14,0.0495
18,3,03-Aug-18,22,19:46:34,19:49:24,01:11:34,0.0497
3,4,24-Jul-18,9,13:35:00,13:38:45,01:11:54,0.0499
45,3,09-Aug-18,24,14:59:09,15:00:03,01:12:11,0.0501
18,3,02-Aug-18,21,14:23:17,14:25:46,01:12:14,0.0502
45,3,26-Jul-18,9,09:16:28,09:21:55,01:12:32,0.0504
18,3,08-Aug-18,27,13:25:25,13:25:35,01:12:54,0.0506
18,3,09-Aug-18,28,18:40:24,18:40:34,01:12:50,0.0506
22,3,14-Jul-18,3,18:42:56,18:52:30,01:12:56,0.0506
3,4,26-Jul-18,11,20:23:17,20:26:54,01:13:17,0.0509
45,3,25-Jul-18,8,08:37:30,08:42:20,01:13:16,0.0509
45,3,08-Aug-18,23,17:51:29,17:55:07,01:13:47,0.0512
33,2,03-Aug-18,14,21:09:00,21:13:46,01:14:00,0.0514
53,3,01-Aug-18,16,08:17:59,08:20:07,01:14:33,0.0518
18,3,02-Aug-18,21,19:50:00,20:00:44,01:14:46,0.0519
33,2,13-Aug-18,24,11:18:48,11:21:03,01:14:52,0.052
97,2,28-Jul-18,14,08:00:00,08:15:00,01:15:00,0.0521
3,4,28-Jul-18,13,10:37:56,10:48:53,01:15:16,0.0523
33,2,03-Aug-18,14,19:41:13,19:41:58,01:15:26,0.0524
53,3,31-Jul-18,15,20:14:02,20:15:45,01:15:40,0.0525
75,1,04-Aug-18,24,19:56:17,20:00:10,01:15:47,0.0526
22,3,20-Jul-18,9,06:09:49,06:17:30,01:15:49,0.0527
45,3,22-Jul-18,5,19:56:35,20:04:29,01:15:57,0.0527
77,3,22-Jul-18,6,11:21:03,11:23:04,01:16:03,0.0528
78,2,01-Aug-18,15,20:55:47,21:06:54,01:16:18,0.053
18,4,26-Jul-18,14,17:44:05,17:51:28,01:16:17,0.053
18,4,28-Jul-18,16,17:50:34,18:00:46,01:16:23,0.053
18,3,05-Aug-18,24,14:15:31,14:17:38,01:16:25,0.0531
78,2,07-Aug-18,21,18:28:27,18:34:37,01:16:33,0.0532
45,3,09-Aug-18,24,18:19:10,18:22:36,01:16:59,0.0535
53,3,01-Aug-18,16,11:49:47,11:52:11,01:17:14,0.0536
33,2,26-Jul-18,6,19:00:13,19:05:25,01:17:08,0.0536
18,4,22-Jul-18,10,07:15:00,07:26:19,01:17:30,0.0538
22,3,23-Jul-18,12,05:50:00,05:55:00,01:17:30,0.0538
53,3,30-Jul-18,14,09:35:54,09:38:45,01:17:39,0.0539
18,3,31-Jul-18,19,12:34:04,12:43:50,01:17:47,0.054
75,1,04-Aug-18,24,21:18:51,21:21:11,01:18:41,0.0546
45,3,06-Aug-18,21,15:25:57,15:36:11,01:18:40,0.0546
30,3,01-Aug-18,17,09:58:57,10:01:11,01:18:57,0.0548
45,3,08-Aug-18,23,12:50:47,12:53:34,01:18:54,0.0548
78,2,02-Aug-18,16,06:18:07,06:22:12,01:19:18,0.0551
45,3,06-Aug-18,21,17:52:49,17:54:20,01:19:20,0.0551
18,3,09-Aug-18,28,17:25:20,17:27:34,01:19:39,0.0553
78,2,07-Aug-18,21,07:25:00,07:35:00,01:20:00,0.0556
45,3,25-Jul-18,8,10:03:10,10:06:26,01:20:50,0.0561
77,3,30-Jul-18,14,19:46:53,19:52:39,01:21:18,0.0565
45,3,22-Jul-18,5,09:26:24,09:29:25,01:21:29,0.0566
53,3,21-Jul-18,5,18:00:21,18:12:07,01:22:12,0.0571
75,1,09-Aug-18,29,17:40:09,17:42:40,01:22:23,0.0572
53,3,01-Aug-18,16,13:14:40,13:18:42,01:22:29,0.0573
18,4,30-Jul-18,18,06:27:39,06:30:41,01:22:39,0.0574
45,3,11-Aug-18,26,14:41:54,14:45:00,01:22:42,0.0574
75,1,31-Jul-18,20,08:16:52,08:21:53,01:22:51,0.0575
45,3,23-Jul-18,6,19:04:18,19:10:08,01:22:49,0.0575
33,2,01-Aug-18,12,19:00:41,19:07:34,01:23:06,0.0577
29,1,02-Aug-18,19,09:40:45,09:44:05,01:23:17,0.0578
78,2,30-Jul-18,13,13:47:51,13:50:00,01:23:34,0.058
97,3,21-Jul-18,7,16:55:40,17:07:30,01:24:09,0.0584
18,3,05-Aug-18,24,20:44:05,20:57:08,01:24:05,0.0584
18,4,17-Jul-18,5,08:56:12,09:03:13,01:24:13,0.0585
18,4,25-Jul-18,13,20:37:31,20:46:32,01:24:44,0.0588
18,4,29-Jul-18,17,18:24:51,18:52:25,01:24:51,0.0589
45,3,25-Jul-18,8,15:50:07,15:55:32,01:24:53,0.0589
3,4,29-Jul-18,14,11:40:23,11:44:30,01:25:04,0.0591
75,2,25-Jul-18,14,05:46:13,05:56:46,01:25:19,0.0592
80,3,20-Jul-18,7,19:59:56,20:06:56,01:25:31,0.0594
18,4,26-Jul-18,14,08:40:07,08:53:54,01:25:48,0.0596
33,2,29-Jul-18,9,14:44:59,14:52:30,01:26:02,0.0597
33,2,02-Aug-18,13,11:30:00,11:32:26,01:25:57,0.0597
33,2,11-Aug-18,22,17:47:55,17:50:02,01:26:10,0.0598
18,4,17-Jul-18,5,16:40:00,16:43:04,01:26:14,0.0599
78,2,28-Jul-18,11,18:12:58,18:16:34,01:26:39,0.0602
75,1,07-Aug-18,27,16:36:36,16:40:30,01:26:52,0.0603
53,3,21-Jul-18,5,19:39:26,19:46:09,01:27:19,0.0606
18,3,05-Aug-18,24,07:53:12,07:53:53,01:27:17,0.0606
18,3,08-Aug-18,27,14:53:00,15:16:38,01:27:25,0.0607
80,3,29-Jul-18,16,18:00:00,18:05:00,01:27:30,0.0608
57,2,24-Jul-18,8,15:30:00,15:39:48,01:27:48,0.061
3,4,30-Jul-18,15,11:43:01,11:57:15,01:28:01,0.0611
18,4,29-Jul-18,17,08:39:25,08:41:04,01:28:44,0.0616
80,3,23-Jul-18,10,16:46:53,16:54:05,01:29:23,0.0621
78,2,09-Aug-18,23,12:27:50,12:31:15,01:29:41,0.0623
78,2,05-Aug-18,19,19:50:00,20:08:10,01:30:00,0.0625
77,3,28-Jul-18,12,10:15:00,10:20:00,01:30:00,0.0625
75,2,26-Jul-18,15,14:18:17,13:24:18,01:30:10,0.0626
18,4,30-Jul-18,18,18:05:43,18:10:00,01:30:15,0.0627
80,3,30-Jul-18,17,10:25:00,10:36:56,01:30:26,0.0628
33,2,05-Aug-18,16,20:47:56,20:53:50,01:30:25,0.0628
75,1,29-Jul-18,18,09:07:19,09:09:09,01:30:59,0.0632
29,1,30-Jul-18,17,16:22:42,16:25:36,01:31:19,0.0634
78,2,21-Jul-18,4,19:48:21,19:50:57,01:31:44,0.0637
47,3,31-Jul-18,10,14:51:07,14:59:37,01:32:01,0.0639
3,4,21-Jul-18,6,06:53:59,07:00:12,01:32:12,0.064
77,3,26-Jul-18,10,13:10:00,13:15:00,01:32:30,0.0642
78,2,08-Aug-18,22,18:49:59,18:52:03,01:32:55,0.0645
77,1,14-Aug-18,29,08:36:54,08:40:33,01:33:03,0.0646
3,4,24-Jul-18,9,08:36:05,08:45:20,01:33:09,0.0647
45,3,08-Aug-18,23,21:24:34,21:26:46,01:33:12,0.0647
77,3,30-Jul-18,14,09:50:00,09:55:00,01:33:23,0.0648
33,1,20-Jul-18,1,08:39:53,08:47:38,01:33:24,0.0649
22,3,16-Jul-18,5,14:20:30,14:27:00,01:34:13,0.0654
33,2,20-Jul-18,1,17:35:00,17:44:51,01:34:13,0.0654
3,4,26-Jul-18,11,06:19:37,06:27:53,01:34:24,0.0656
33,2,04-Aug-18,15,08:42:06,08:45:32,01:34:33,0.0657
80,3,31-Jul-18,18,21:43:13,21:44:12,01:34:53,0.0659
77,3,24-Jul-18,8,07:05:00,07:10:00,01:35:00,0.066
80,3,30-Jul-18,17,21:20:00,21:24:11,01:35:00,0.066
18,4,26-Jul-18,14,16:15:09,16:18:49,01:35:09,0.0661
3,4,21-Jul-18,6,20:05:35,20:16:06,01:36:03,0.0667
97,2,29-Jul-18,15,16:00:00,16:15:00,01:36:20,0.0669
18,4,27-Jul-18,15,07:53:20,07:54:34,01:36:16,0.0669
53,3,25-Jul-18,9,05:48:55,06:00:50,01:36:43,0.0672
33,2,26-Jul-18,6,17:37:25,17:43:05,01:36:46,0.0672
18,4,29-Jul-18,17,10:18:08,10:22:30,01:37:04,0.0674
78,2,31-Jul-18,14,19:26:36,19:31:40,01:37:09,0.0675
33,2,13-Aug-18,24,07:46:15,08:06:33,01:37:16,0.0675
57,2,24-Jul-18,8,08:10:00,08:16:45,01:37:30,0.0677
78,2,01-Aug-18,15,10:03:01,10:07:34,01:38:01,0.0681
77,3,31-Jul-18,15,22:05:30,22:09:40,01:38:00,0.0681
97,2,06-Aug-18,23,08:00:00,08:15:00,01:38:08,0.0681
33,2,29-Jul-18,9,18:20:00,18:27:30,01:38:51,0.0686
53,3,30-Jul-18,14,11:31:12,11:31:48,01:38:55,0.0687
18,3,06-Aug-18,25,10:05:40,10:06:21,01:39:12,0.0689
22,3,18-Jul-18,7,14:52:51,15:02:30,01:39:34,0.0691
80,3,02-Aug-18,20,12:10:28,12:30:00,01:39:38,0.0692
77,3,29-Jul-18,13,19:15:00,19:20:00,01:40:00,0.0694
75,2,13-Jul-18,2,17:05:26,17:14:17,01:40:26,0.0697
53,3,22-Jul-18,6,22:14:35,22:18:29,01:40:26,0.0697
18,3,06-Aug-18,25,14:18:36,14:19:23,01:41:10,0.0703
77,3,01-Aug-18,16,22:35:59,22:37:26,01:41:20,0.0704
